
Bob Livingston	Former Republican Representative (LA-1)
Bob Ney	Republican Representative (OH-18)
Bob Riley	Republican Representative (AL-3)
Bob Schaffer	Republican Representative (CO-4)
Bob Smith	Republican Sr Senator (NH)
Bob Stump	Republican Representative (AZ-3)
Bob Taft	Republican Governor (OH)
Bob Tingle	Republican Challenger (RI)
Bob Torricelli	Democrat Jr Senator (NJ)
Bob Wise	Democrat Governor (WV) & Former Representative (WV-2)
Bobby Rush	Democrat Representative (IL-1)
Bobby Scott	Democrat Representative (VA-3)
Bobby Wood	2000 Republican Challenger for Senate (GA)
Brad Carson	Democrat Representative (OK-2)
Brad Miller	US Representative (North Carolina-13)
Brad Sherman	Democrat Representative (CA-24)
Bret Schundler	Republican Candidate Governor (NJ)
Brian Baird	Democrat Representative (WA-3)
Brian Bilbray	Republican Representative (CA-49)
Brian Joyce	Democratic Massachusetts State Senator (Norfolk, Bristol & Plymouth)
Brian Kerns	Republican Representative (IN-7)
Brian Lees	Republican Massachusetts State Senator (First Hampden & Hampshire)
Brian Rees	2000 Natural Law Challenger for Senate (CA)
Brian Schweitzer	2000 Democrat Challenger for Senate (MT)
Bruce Tarr	Republican Massachusetts State Senator (First Essex & Middlesex)
Bruce Vento	Democrat/Farmer/Labor Representative (MN-4)
Buck McKeon	Republican Representative (CA-25)
Bud Cramer	Democrat Representative (AL-5)
Bud Shuster	Republican Representative (PA-9)
Burt Cohen	Democrat Challenger (NH)
Butch Otter	Republican Representative (ID-1)
Byron Dorgan	Democrat Jr Senator (ND)
Cal Dooley	Democrat Representative (CA-20)
Candice Miller	US Representative (Michigan-10)
Carl Gutierrez	Guam Governor (GU)
Carl Levin	Former Democrat Senator (MI)
Carla Howell	Libertarian Challenger Governor (MA) & 2000 Challenger for Senate
Carlos Moorhead	Former Republican Representative (CA-27)
Carlton Bowen	Independent American (Utah)
Carol Moseley-Braun	Former Democrat Senator (IL)
Carolyn Kilpatrick	Democrat Representative (MI-15)
Carolyn Maloney	Democrat/Liberal Representative (NY-14)
Carolyn McCarthy	Dem./Ind./Working-Families Representative (NY-4)
Carrie Meek	Democrat Representative (FL-17)
Cass Ballenger	Republican Representative (NC-10)
Cecil Underwood	Republican Governor (WV)
Chaka Fattah	Democrat Representative (PA-2)
Charles Canady	Republican Representative (FL-12)
Charles Johnson	2000 Independent Challenger for Senate (TN)
Charles Rangel	Dem./Lib./Working-Families Representative (NY-15)
Charles Robb	Former Democrat Senator (VA)
Charles Schumer	Democrat Jr Senator (NY)
Charles Shannon	Democratic Massachusetts State Senator (Second Middlesex)
Charles Stenholm	Democrat Representative (TX-17)
Charles Taylor	Republican Representative (NC-11)
Charles Turnbull	Virgin Islands Governor (VI)
Charlie Gonzalez	Democrat Representative (TX-20)
Charlie Matulka	Democrat Challenger (NE)
Charlie Norwood	Republican Representative (GA-10)
Chellie Pingree	Democrat Challenger (ME)
Cheryl Jacques	Democratic Massachusetts State Senator (Norfolk, Bristol & Middlesex)
Chet Edwards	Democrat Representative (TX-11)
Chip Pickering	Republican Representative (MS-3)
Chris Bell	US Representative (Texas-25)
Chris Cannon	Republican Representative (UT-3)
Chris Chocola	US Representative (Indiana-2)
Chris Dodd	Democrat Sr Senator (CT)
Chris John	Democrat Representative (LA-7)
Chris Van Hollen	US Representative (Maryland-8)
Christie Todd Whitman	Cabinet Member
Christopher Cox	Republican Representative (CA-47)
Christopher Shays	Republican Representative (CT-4)
Christopher Smith	Republican Representative (NJ-4)
Chuck Bass	Republican Representative (NH-2)
Chuck Grassley	Republican Sr Senator (IA)
Chuck Hagel	Republican Jr Senator (NE)
Ciro Rodriguez	Democrat Representative (TX-28)
Claiborne Pell	Former Democrat Senator (RI)
Clarence Thomas	Supreme Court Justice
Clay Shaw	Republican Representative (FL-22)
Cliff Stearns	Republican Representative (FL-6)
Colin Powell	Cabinet Member
Collin Peterson	Democrat/Farmer/Labor Representative (MN-7)
Connie Mack	Republican Jr Senator (FL)
Connie Morella	Republican Representative (MD-8)
Conrad Burns	Republican Jr Senator (MT)
Corrine Brown	Democrat Representative (FL-3)
Craig Thomas	Republican Sr Senator (WY)
Curt Weldon	Republican Representative (PA-7)
Cynthia Creem	Democratic Massachusetts State Senator (First Middlesex & Norfolk)
Cynthia McKinney	Democrat Representative (GA-4)
Dale Bumpers	Former Democrat Senator (AR)
Dale Kildee	Democrat Representative (MI-9)
Dan Burton	Republican Representative (IN-6)
Dan Miller	Republican Representative (FL-13)
Dan Quayle	Vice President of the U.S., 1988-1992
Dan Schaefer	Former Republican Representative (CO-6)
Dana Rohrabacher	Republican Representative (CA-45)
Daniel Akaka	Democrat Jr Senator (HI)
Daniel Coats	Former Republican Senator (IN)
Daniel Frisa	Former Republican Representative (NY-4)
Daniel Inouye	Democrat Sr Senator (HI)
Danny Davis	Democrat Representative (IL-7)
Darlene Hooley	Democrat Representative (OR-5)
Darrell Issa	Republican Representative (CA-48)
Dave Camp	Republican Representative (MI-4)
Dave Hobson	Republican Representative (OH-7)
Dave Weldon	Republican Representative (FL-15)
David Adam Smith	Democrat Representative (WA-9)
David Bonior	Democrat Representative (MI-10)
David Dreier	Republican Representative (CA-28)
David Eugene Price	Democrat Representative (NC-4)
David Funderburk	Former Republican Representative (NC-2)
David Gallaher	2000 Republican Challenger for Senate (WV)
David Johnson	2000 Democrat Challenger for Senate (IN)
David Magnani	Democratic Massachusetts State Senator (Second Middlesex & Norfolk)
David McIntosh	Republican Representative (IN-2)
David Minge	Democrat/Farmer/Labor Representative (MN-2)
David Obey	Democrat Representative (WI-7)
David Ownby	2000 Independent Challenger for Senate (TN)
David Phelps	Democrat Representative (IL-19)
David Pryor	Former Democrat Senator (AR)
David Scott	US Representative (Georgia-13)
David Skaggs	Former Democratic Representative (CO-2, retired 1998)
David Souter	Supreme Court Justice
David Vitter	Republican Representative (LA-1)
David Walters	Democrat Challenger (OK)
David Wu	Democrat Representative (OR-1)
Debbie Stabenow	Democrat Jr Senator (MI) & Former Representative (MI-8)
Deborah Pryce	Republican Representative (OH-15)
Democratic Party	Party Platform
Denise Majette	US Representative (Georgia-4)
Dennis Cardoza	US Representative (California-18)
Dennis Kucinich	Democrat Representative (OH-10)
Dennis Moore	Democrat Representative (KS-3)
Dennis Rehberg	Republican Representative (MT-AL)
Denny Hastert	Republican Representative (IL-14)
Devin Nunes	US Representative (California-21)
Diana DeGette	Democrat Representative (CO-1)
Diane Templin	American Independent (California)
Diane Watson	Democrat Representative (CA-32)
Dianne Feinstein	Democrat Sr Senator (CA)
Dianne Wilkerson	Democratic Massachusetts State Senator (Second Suffolk)
Dick Armey	Republican Representative (TX-26)
Dick Cheney	Vice President of the United States
Dick Chrysler	Former Republican Representative (MI-3)
Dick Gephardt	Democrat Representative (MO-3)
Dirk Kempthorne	Republican Governor (ID) & Senator
Doc Hastings	Republican Representative (WA-4)
Don Nickles	Republican Sr Senator (OK)
Don Sherwood	Republican Representative (PA-10)
Don Siegelman	Democrat Governor (AL)
Don Stenberg	Republican (Nebraska)
Don Sundquist	Republican Governor (TN)
Don Young	Republican Representative (AK-AL)
Donald Evans	Cabinet Member
Donald Manzullo	Republican Representative (IL-16)
Donald Payne	Democrat Representative (NJ-10)
Donald Rumsfeld	Cabinet Member
Donald Trump	2000 Reform Primary Challenger for President
Donna Christensen	Representative (VI-Delegate)
Donny DiFrancesco	Republican Governor (NJ)
Doug Bereuter	Republican Representative (NE-1)
Doug Ose	Republican Representative (CA-3)
Douglas Forrester	Republican Challenger (NJ)
Douglas Sandage	2000 Green Challenger for Senate (TX)
Duane Sand	2000 Republican Challenger for Senate (ND)
Duke Cunningham	Republican Representative (CA-51)
Duncan Hunter	Republican Representative (CA-52)
Dutch Ruppersberger	US Representative (Maryland-2)
Earl Blumenauer	Democrat Representative (OR-3)
Earl Hilliard	Democrat Representative (AL-7)
Earl Pomeroy	Democrat Representative (ND-AL)
Ed Bernstein	Democrat (Nevada)
Ed Bryant	Republican Representative (TN-7)
Ed Case	US Representative (Hawaii-2)
Ed Flanagan	2000 Democrat Challenger for Senate (VT)
Ed Markey	Democrat Representative (MA-7)
Ed Pastor	Democrat Representative (AZ-2)
Ed Pease	Republican Representative (IN-7)
Ed Rendell	Democratic Governor (PA)
Ed Royce	Republican Representative (CA-39)
Ed Towns	Democrat/Liberal Representative (NY-10)
Ed Whitfield	Republican Representative (KY-1)
Eddie Bernice Johnson	Democrat Representative (TX-30)
Edward Schafer	Democrat Governor (ND)
Edward Schrock	Republican Representative (VA-2)
Elaine Chao	Cabinet Member
Eleanor Holmes Norton	Democrat Representative (DC-Delegate)
Elijah Cummings	Democrat Representative (MD-7)
Eliot Engel	Democrat/Liberal Representative (NY-17)
Elizabeth Dole	2000 Republican Primary Candidate for President; 2002 NC Senator
Elizabeth Furse	Former Democrat Representative (OR-1)
Ellen Tauscher	Democrat Representative (CA-10)
Elton Gallegly	Republican Representative (CA-23)
Eni Faleomavaega	Democratic Delegate to Congress from Samoa
Enid Waldholtz	Former Republican Representative (UT-2)
Eric Cantor	Republican Representative (VA-7)
Ernest Istook	Republican Representative (OK-5)
Ernie Fletcher	Republican Representative (KY-6)
Erskine Bowles	Democratic Candidate (NC)
Esteban Torres	Former Democrat Representative (CA-34, retired 1998)
Eugene Douglass	2000 Republican Challenger for Senate (HI)
Eva Clayton	Democrat Representative (NC-1)
Evan Bayh	Democrat Jr Senator (IN)
Felix Grucci	Republican Representative (NY-1)
Floyd Spence	Republican Representative (SC-2)
Frank Annunziata	Independence (New York)
Frank Ballance	US Representative (North Carolina-1)
Frank Cremeans	Former Republican Representative (OH-6)
Frank Dean Lucas	Republican Representative (OK-6)
Frank Keating	Republican Governor (OK)
Frank Lautenberg	Democrat Sr Senator (NJ)
Frank LoBiondo	Republican Representative (NJ-2)
Frank Mascara	Democrat Representative (PA-20)
Frank Murkowski	Republican Jr Senator (AK)
Frank O'Bannon	Democrat Governor (IN)
Frank Pallone	Democrat Representative (NJ-6)
Frank Riggs	Former Republican Representative (CA-1)
Frank Vondersaar	Democrat Challenger (AK)
Frank Wolf	Republican Representative (VA-10)
Fred Heineman	Former Republican Representative (NC-4)
Fred Thompson	Republican Sr Senator (TN)
Fred Upton	Republican Representative (MI-6)
Frederick Berry	Democratic Massachusetts State Senator (Second Essex)
Fritz Hollings	Democrat Jr Senator (SC)
Gail Lightfoot	2000 Libertarian Challenger for Senate (CA)
Gale Norton	Cabinet Member
Gary Ackerman	Dem./Ind./Lib./Working-Fam. Representative (NY-5)
Gary Bauer	2000 Republican Primary Candidate for President
Gary Condit	Democrat Representative (CA-18)
Gary Franks	Former Republican Representative (CT-5)
Gary Johnson	Republican Governor (NM)
Gary Locke	Democrat Governor (WA)
Gary Miller	Republican Representative (CA-41)
Gene Green	Democrat Representative (TX-29)
Gene Kelley	2000 Democrat Challenger for Senate (TX)
Gene Taylor	Democrat Representative (MS-5)
George Allen	Republican Jr Senator (VA)
George Brown	Former Democrat Representative (CA-42, 1965-1999)
George Bush Sr.	President of the U.S., 1988-1992
George Gekas	Republican Representative (PA-17)
George Miller	Democrat Representative (CA-7)
George Nethercutt	Republican Representative (WA-5)
George Pataki	Republican Governor (NY)
George Radanovich	Republican Representative (CA-19)
George Ryan	Republican Governor (IL)
George Voinovich	Republican Jr Senator (OH)
George W. Bush	President of the United States
Gerald Ford	President of the U.S., 1974-1976
Gerald Solomon	Former Republican Representative (NY-22)
Gil Gutknecht	Republican Representative (MN-1)
Ginny Brown-Waite	US Representative (Florida-5)
Glenn Poshard	Former Democratic Representative (IL-19, 1989-98), candidate for Governor, 1998
Gloria Tristani	Democrat Challenger (NM)
Gordon Harold Smith	Republican Jr Senator (OR)
Grace Napolitano	Democrat Representative (CA-34)
Grant Stauffer	2000 Libertarian Challenger for Senate (MO)
Gray Davis	Democrat Governor (CA)
Green Party	Party Platform
Greg Ganske	Republican Representative (IA-4)
Greg Walden	Republican Representative (OR-2)
Gregory Meeks	Dem./Working-Families Representative (NY-6)
Gresham Barrett	US Representative (South Carolina-3)
Guy Glodis	Democratic Massachusetts State Senator (Second Worcester)
Hal Rogers	Republican Representative (KY-5)
Hank Brown	Former Republican Senator (CO)
Harold Ford	Democrat Representative (TN-9)
Harriette Chandler	Democratic Massachusetts State Senator (First Worcester)
Harris Fawell	Former Republican Representative (IL-13)
Harry Browne	2000 Libertarian Nominee for President
Harry Reid	Democrat Sr Senator (NV)
Hazel Chandler	2000 Natural Law Party Challenger for Senate (TX)
Heather Wilson	Republican Representative (NM-1)
Helen Chenoweth	Republican Representative (ID-1)
Henry Bonilla	Republican Representative (TX-23)
Henry Brown	Republican Representative (SC-1)
Henry Hyde	Republican Representative (IL-6)
Henry Waxman	Democrat Representative (CA-29)
Herb Bateman	Republican Representative (VA-1)
Herbert Kohl	Democrat Sr Senator (WI)
Hilda Solis	Democrat Representative (CA-31)
Hillary Clinton	Democrat Jr Senator (NY)
Howard Berman	Democrat Representative (CA-26)
Howard Dean	Former Democrat Governor (VT)
Howard Phillips	2000 Constitution Party Nominee for President
Hugh Foley	2000 Reform Challenger for Senate (MO)
Ike Skelton	Democrat Representative (MO-4)
Ileana Ros-Lehtinen	Republican Representative (FL-18)
J.C. Watts	Republican Representative (OK-4)
J.D. Hayworth	Republican Representative (AZ-6)
Jack Fields	Former Republican Representative (TX-8)
Jack Kingston	Republican Representative (GA-1)
Jack Metcalf	Republican Representative (WA-2)
Jack Quinn	Republican/Ind./Cons. Representative (NY-30)
Jack Reed	Democrat Sr Senator (RI)
Jack Robinson	2000 Republican Challenger for Senate (MA)
James Barcia	Democrat Representative (MI-5)
James Clyburn	Democrat Representative (SC-6)
James Durkin	Republican Challenger (IL)
James Gibson	2000 Independence Party Challenger for Senate (MN)
James Hall	2000 Reform Challenger for Senate (MO)
James Hansen	Republican Representative (UT-1)
James Hunt	Democrat Governor (NC)
James Inhofe	Republican Jr Senator (OK)
James Langevin	Democrat Representative (RI-2)
James Moran	Democrat Representative (VA-8)
James Oberstar	Democrat/Farmer/Labor Representative (MN-8)
James Quillen	Former Republican Representative (TN-1)
James Rogan	Republican Representative (CA-27)
James Sensenbrenner	Republican Representative (WI-9)
Jan Backus	2000 Democrat Challenger for Senate (VT)
Jan Meyers	Former Republican Representative (KS-3)
Jan Schakowsky	Democrat Representative (IL-9)
Jane Dee Hull	Republican Governor (AZ)
Jane Harman	Democrat Representative (CA-36)
Jane Swift	Republican Governor (MA)
Janet Reno	Democratic Challenger Governor (FL)
Jarrett Barrios	Democratic Massachusetts State Senator (Middlesex, Suffolk & Essex)
Jay Dickey	Republican Representative (AR-4)
Jay Inslee	Democrat Representative (WA-1)
Jay Kim	Former Republican Representative (CA-41)
Jay Wolfe	Republican Challenger (WV)
Jean Carnahan	Democrat Jr Senator (MO)
Jeanne Shaheen	Democrat Governor (NH); candidate for Senate 2002
Jeb Bradley	US Representative (New Hampshire-1)
Jeb Bush	Republican Governor (FL)
Jeb Hensarling	US Representative (Texas-5)
Jeff Bingaman	Democrat Jr Senator (NM)
Jeff Clark	2000 Democrat Challenger for Senate (TN)
Jeff Flake	Republican Representative (AZ-1)
Jeff Gates	2000 Green Challenger for Senate (GA)
Jeff Jared	2000 Libertarian Challenger for Senate (WA)
Jeff Miller	Republican Representative (FL-1)
Jeff Sessions	Former Republican Senator (AL)
Jennifer Dunn	Republican Representative (WA-8)
Jennifer Granholm	Democratic Governor (MI)
Jerrold Nadler	Dem./Lib./Working-Families Representative (NY-8)
Jerry Costello	Democrat Representative (IL-12)
Jerry Kleczka	Democrat Representative (WI-4)
Jerry Lewis	Republican Representative (CA-40)
Jerry Moran	Republican Representative (KS-1)
Jerry Weller	Republican Representative (IL-11)
Jesse Gordon	Editor-in-chief, OnTheIssues.org
Jesse Helms	Republican Sr Senator (NC)
Jesse Louis Jackson	Democrat Representative (IL-2)
Jesse Ventura	Independent Governor (MN)
Jim Bunning	Republican Jr Senator (KY)
Jim Cooper	US Representative (Tennessee-5)
Jim Davis	Democrat Representative (FL-11)
Jim DeMint	Republican Representative (SC-4)
Jim Dexter	2000 Libertarian Challenger for Senate (UT)
Jim Douglas	Republican Governor (VT)
Jim Exon	Former Democrat Senator (NE)
Jim Geringer	Republican Governor (WY)
Jim Gerlach	US Representative (Pennsylvania-6)
Jim Gibbons	Republican Representative (NV-2)
Jim Giles	2000 Independent Challenger for Senate (MS)
Jim Gilmore	Republican Governor (VA)
Jim Greenwood	Republican Representative (PA-8)
Jim Hodges	Democrat Governor (SC)
Jim Jeffords	Republican Jr Senator (VT)
Jim Kolbe	Republican Representative (AZ-5)
Jim Leach	Republican Representative (IA-1)
Jim Lightfoot	Former Republican Representative (IA-3)
Jim Longley	Former Republican Representative (ME-1)
Jim Maloney	Democrat Representative (CT-5)
Jim Marshall	US Representative (Georgia-3)
Jim Matheson	Democrat Representative (UT-2)
Jim McCrery	Republican Representative (LA-4)
Jim McDermott	Democrat Representative (WA-7)
Jim McGovern	Democrat Representative (MA-3)
Jim McGreevey	Democrat Candidate Governor (NJ)
Jim Nussle	Republican Representative (IA-2)
Jim Ramstad	Republican Representative (MN-3)
Jim Ryun	Republican Representative (KS-2)
Jim Saxton	Republican Representative (NJ-3)
Jim Talent	Republican Representative (MO-2)
Jim Traficant	Democrat Representative (OH-17)
Jim Turner	Democrat Representative (TX-2)
Jim Walsh	Rep./Ind./Conservative Representative (NY-25)
Jimmy Carter	President of the U.S., 1976-1980
Jimmy Duncan	Republican Representative (TN-2)
Jo Ann Davis	Republican Representative (VA-1)
Jo Ann Emerson	Republican Representative (MO-8)
Jo Bonner	US Representative (Alabama-1)
Joan Menard	Democratic Massachusetts State Senator (First Bristol & Plymouth)
JoAnn Sprague	Republican Massachusetts State Senator (Bristol & Norfolk)
Joe Baca	Democrat Representative (CA-42)
Joe Biden	Democrat Jr Senator (DE)
Joe Knollenberg	Republican Representative (MI-11)
Joe Linus Barton	Republican Representative (TX-6)
Joe McDade	Former Republican Representative (PA-10)
Joe Moakley	Democrat Representative (MA-9)
Joe Scarborough	Republican Representative (FL-1)
Joe Skeen	Republican Representative (NM-2)
Joel Hefley	Republican Representative (CO-5)
Joel Kinstle	2000 Independent Challenger for Senate (TN)
John Ashcroft	Cabinet Member Former Republican Senator (MO)
John Baldacci	Democrat Representative (ME-2)
John Boehner	Republican Representative (OH-8)
John Breaux	Democrat Sr Senator (LA)
John Carter	US Representative (Texas-31)
John Chafee	Former Republican Senator (RI)-Deceased 1999
John Conyers	Democrat Representative (MI-14)
John Cooksey	Republican Representative (LA-5)
John Cornyn	Republican Challenger (TX)
John Culberson	Republican Representative (TX-7)
John Dingell	Democrat Representative (MI-16)
John Doolittle	Republican Representative (CA-4)
John Eastman	2000 Natural Law Challenger for Senate (OH)
John Edwards	Democrat Jr Senator (NC)
John Engler	Republican Governor (MI)
John Ensign	Republican Jr Senator (NV)
John Featherman	2000 Libertarian Challenger for Senate (PA)
John Gillespie	2000 Republican Challenger for Senate (WI)
John Glenn	Former Democrat Senator (OH)
John Hagelin	2000 Natural Law Party Nominee for President
John Hager	Republican Primary Candidate Governor (VA)
John Hart	Democratic Massachusetts State Senator (First Suffolk)
John Hoeven	Republican Governor (ND)
John Hostettler	Republican Representative (IN-8)
John Howard Coble	Republican Representative (NC-6)
John Kasich	Republican Representative (OH-12)
John Kerry	Democrat Jr Senator, ran for President 2004 (MA)
John Kitzhaber	Democrat Governor (OR)
John Kline	US Representative (Minnesota-2)
John LaFalce	Democrat/Ind./Lib. Representative (NY-29)
John Larson	Democrat Representative (CT-1)
John Lewis	Democrat Representative (GA-5)
John Linder	Republican Representative (GA-11)
John McAlister	2000 Libertarian Challenger for Senate (OH)
John McCain	Republican Sr Senator (AZ)
John McHugh	Republican/Conservative Representative (NY-24)
John Mica	Republican Representative (FL-7)
John Murtha	Democrat Representative (PA-12)
John Myers	Former Republican Representative (IN-7)
John Olver	Democrat Representative (MA-1)
John Paul Stevens	Supreme Court Justice
John Peterson	Republican Representative (PA-5)
John Porter	Republican Representative (IL-10)
John Rockefeller	Former Democrat Senator (WV)
John Rowland	Republican Governor (CT)
John Shadegg	Republican Representative (AZ-4)
John Shimkus	Republican Representative (IL-20)
John Spratt	Democrat Representative (SC-5)
John Sununu	Republican Representative (NH-1)
John Sweeney	Republican/Conservative Representative (NY-22)
John Tanner	Democrat Representative (TN-8)
John Thune	Republican Representative (SD-AL)
John Tierney	Democrat Representative (MA-6)
John Warner	Republican Sr Senator (VA)
Johnny Isakson	Republican Representative (GA-6)
Jon Christensen	Former Republican Representative (NE-2)
Jon Corzine	Democrat Jr Senator (NJ)
Jon Fox	Former Republican Representative (PA-13)
Jon Kyl	Republican Jr Senator (AZ)
Jon Porter	US Representative (Nevada-3)
Jose Camahort	2000 Reform Challenger for Senate (CA)
Jose Serrano	Democrat/Liberal Representative (NY-16)
Joseph Crowley	Democrat Representative (NY-7)
Joseph Hoeffel	Democrat Representative (PA-13)
Joseph Kernan	Democratic Governor (IN)
Joseph Lieberman	Democrat Jr Senator, ran for V.P. 2000, ran for president 2004 (CT)
Joseph Pitts	Republican Representative (PA-16)
Joseph Whelan	2000 Libertarian Challenger for Senate (WV)
Joyce Jansa Corcoran	Democrat Challenger (WY)
Juanita Millender-McDonald	Democrat Representative (CA-37)
Judd Gregg	Republican Jr Senator (NH)
Judy Biggert	Republican Representative (IL-13)
Judy Martz	Republican Governor (MT)
Julia Carson	Democrat Representative (IN-10)
Julian Dixon	Democrat Representative (CA-32)
Karen McCarthy	Democrat Representative (MO-5)
Karen Thurman	Democrat Representative (FL-5)
Katherine Harris	Republican Representative (FL-13)
Kay Bailey Hutchison	Republican Jr Senator (TX)
Kay Granger	Republican Representative (TX-12)
Ken Bentsen	Democrat Representative (TX-25)
Ken Calvert	Republican Representative (CA-43)
Ken Lucas	Democrat Representative (KY-4)
Kendrick Meek	US Representative (Florida-17)
Kenny Guinn	Republican Governor (NV)
Kenny Hulshof	Republican Representative (MO-9)
Kent Conrad	Democrat Sr Senator (ND)
Kevin Brady	Republican Representative (TX-8)
Kevin McKeigue	2000 Independent Challenger for Senate (WA)
Kirk Fordice	Republican Governor (MS)
Kit Bond	Republican Sr Senator (MO)
Lamar Alexander	Republican Candidate (TN)
Lamar Smith	Republican Representative (TX-21)
Lane Evans	Democrat Representative (IL-17)
Larry Combest	Republican Representative (TX-19)
Larry Craig	Republican Sr Senator (ID)
Larry Evans	2000 Natural Law Challenger for Senate (IN)
Larry Pressler	Former Republican Senator (SD)
Lauch Faircloth	Former Republican Senator (NC)
Lauren Beth Gash	Democrat (IL 10th district)
Lee Hamilton	Former Democratic Representative (IN-9, 17 terms)
Lee Terry	Republican Representative (NE-2)
Leonard Boswell	Democrat Representative (IA-3)
Lewis Napper	2000 Libertarian Challenger for Senate (MS)
Libertarian Party	Party Platform
Lincoln Almond	Republican Governor (RI)
Lincoln Chafee	Republican Jr Senator (RI)
Lincoln Davis	US Representative (Tennessee-4)
Lincoln Diaz-Balart	Republican Representative (FL-21)
Linda Lingle	Republican Governor (HI)
Linda Melconian	Democratic Massachusetts State Senator (Hampden)
Linda Sanchez	US Representative (California-39)
Linda Smith	Former Republican Representative (WA-3)
Lindsey Graham	Republican Representative (SC-3)
Lisa Murkowski	Republican Jr Senator (AK)
Lloyd Doggett	Democrat Representative (TX-10)
Lois Capps	Democrat Representative (CA-22)
Lois Combs Weinberg	Democrat Challenger (KY)
Loretta Sanchez	Democrat Representative (CA-46)
Louis Wein	Constitution Party Candidate for NY Senate
Louise Slaughter	Democrat Representative (NY-28)
Lucille Roybal-Allard	Democrat Representative (CA-33)
Luis Gutierrez	Democrat Representative (IL-4)
